// Fix16 functions.
address,type,symbol

// dtor
40ac40,function,??1Fix16_Point@@QAE@XZ

// operator+
408660,function,??HFix16@@QAE?AV0@ABV0@@Z

// operator* (multiply)
408680,function,??DFix16@@QBE?AV0@ABV0@@Z

// operator- (negate)
4086A0,function,??GFix16@@QBE?AV0@XZ

// operator- (subtract)
436A00,function,??GFix16@@QBE?AV0@ABV0@@Z

// sqrt
436A70,function,?SquareRoot@Fix16@@SG?AV1@AAV1@@Z

// ctor(s32)
4369F0,function,??0Fix16@@QAE@H@Z

// ctor(u8)
45C4E0,function,??0Fix16@@QAE@E@Z

// ctor(u32)
4926f0,function,??0Fix16@@QAE@I@Z

// ctor(u16)
4AE970,function,??0Fix16@@QAE@G@Z

// ctor
4E6280,function,??0Fix16_Rect@@QAE@VFix16@@000@Z

// ctor
563970,function,??0Fix16_Point@@QAE@XZ



